ImageName/Headliner/Show/Opener/Loc/Right/DateTime/Left/SecLabel/RowLabel/SeatLabel/Section/Row/Seat		
5SecondsofSummer_TakeMyHandWorldTour.jpeg/5 Seconds of Summer/Take My Hand World Tour/Pale Waves/The Anthem | Washington	DC//July 05 | 7:00 PM//////GENERAL ADMISSION/	
DuaLipa_FutureNostalgiaTour.jpeg/Dua Lipa/Future Nostalgia Tour//Gröna Lund | Stockholm//June 28 | 8:00 PM//////GENERAL ADMISSION/		
TheDriverEra_TheGirlfriendTour.jpeg/The Driver Era /The Girlfriend Tour/Moon Tower | The Wrecks/The NorVa | Norfolk	VA//November 28 | 7:00 PM//////GENERAL ADMISSION/	
ThomasRhett_VeryHotSummerTour.jpeg/Thomas Rhett/Very Hot Summer Tour/Dustin Lynch | Russell Dickerson/Jiffy Lube Live | Bristow	VA//June 15 | 8:00 PM//////GENERAL ADMISSION: LAWN/	
LANY_MalibuNightsWorldTour.jpeg/LANY/Malibu Nights World Tour/Fletcher/9:30 Club | Washington	DC//May 16 | 7:30 PM//////GENERAL ADMISSION/	
PictureThis_MDRNLVTour.jpeg/Picture This/MDRN LV Tour/Future Feats/Rock N Roll Hotel | Washington	DC//April 27 | 8:00 PM//////GENERAL ADMISSION/	
NiallHoran_FlickerWorldTour.jpeg/Niall Horan/Flicker World Tour/Maren Morris/Jiffy Lube Live | Bristow	VA//August 31 | 7:30 PM//////GENERAL ADMISSION: LAWN/	
Panic!attheDisco_PrayfortheWickedTour.jpeg/Panic! at the Disco/Pray for the Wicked Tour/Hayley Kiyoko | ARIZONA/PPG Paints Arena | Pittsburgh	PA//July 18 | 7:30 PM//SECTION/ROW/SEAT/218/J/9	
Halsey_HopelessFountainKingdomTour.jpeg/Halsey/Hopeless Fountain Kingdom Tour: The Final Installment/Jessie Reyez/Wolf Trap | Vienna	VA//July 15 | 8:00 PM//////GENERAL ADMISSION: LAWN/	
HarryStylesLiveonTour.jpeg/Harry Styles: Live on Tour//Kasey Musgraves/Capital One Arena | Washington	DC//June 24 | 8:00 PM//SECTION/ROW/SEAT/121/M/15	
Khalid_RoxyTour.jpeg/Khalid/Roxy Tour/Prettymuch/Pier Six Pavilion | Baltamore	MD//June 04 | 7:30 PM//SECTION/ROW/SEAT/104/D/4	
DuaLipa_TheSelf-TitledTour.jpeg/Dua Lipa/The Self-Titled Tour/Marteen/The Fillmore Silver Spring | Silver Spring	MD//November 28 | 7:30 PM//////GENERAL ADMISSION/	
Halsey_HopelessFountainKingdomTour.jpeg/Halsey/Hopeless Fountain Kingdom Tour: Installment I/PartyNextDoor | Charli XCX/Capital One Arena | Washington	DC//October 09 | 8:00 PM//SECTION/ROW/SEAT/4/G/10	
TroyeSivan_SuburbiaTour.jpeg/Troye Sivan/Suburbia Tour/Dua Lipa/Eagle Bank Arena | Fairfax	VA//November 17 | 7:00 PM//SECTION/ROW/SEAT/129/J/4	
